Dataset,Model,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,Method
HDC,Gradient Boosting,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,No balancing
HDC,Gradient Boosting,2,0.9992877492877493,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884,No balancing
HDC,Gradient Boosting,3,0.9846153846153846,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077,No balancing
HDC,Gradient Boosting,4,0.9995273208546039,0.985781990521327,0.9839289090565324,0.9846153846153847,0.9922480620155039,0.9884169884169884,No balancing
HDC,Gradient Boosting,5,0.9962185668368311,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,No balancing
HDC,XGBoost,1,1.0,1.0,1.0,1.0,1.0,1.0,No balancing
HDC,XGBoost,2,0.9989553656220322,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923,No balancing
HDC,XGBoost,3,0.9916429249762583,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077,No balancing
HDC,XGBoost,4,0.9993382491964454,0.981042654028436,0.9844961240310077,1.0,0.9689922480620154,0.984251968503937,No balancing
HDC,XGBoost,5,0.9948005294006428,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,No balancing
HDC,CatBoost,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,No balancing
HDC,CatBoost,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923,No balancing
HDC,CatBoost,3,0.988698955365622,0.976303317535545,0.9761158594491928,0.9844961240310077,0.9769230769230769,0.9806949806949807,No balancing
HDC,CatBoost,4,0.9993382491964454,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375,No balancing
HDC,CatBoost,5,0.9967857818113064,0.985781990521327,0.9861505010398941,0.9921875,0.9844961240310077,0.9883268482490273,No balancing
HDC,Extra Trees,1,0.9894586894586894,0.9478672985781991,0.9414055080721747,0.9473684210526315,0.9692307692307692,0.9581749049429658,No balancing
HDC,Extra Trees,2,0.9896486229819563,0.9289099526066351,0.9353276353276353,0.9752066115702479,0.9076923076923077,0.9402390438247012,No balancing
HDC,Extra Trees,3,0.9760208926875594,0.919431279620853,0.9160018993352327,0.937984496124031,0.9307692307692308,0.9343629343629344,No balancing
HDC,Extra Trees,4,0.979013045944413,0.919431279620853,0.9185573832482511,0.9444444444444444,0.9224806201550387,0.9333333333333333,No balancing
HDC,Extra Trees,5,0.9802892796369824,0.9241706161137441,0.9179901682737758,0.9312977099236641,0.9457364341085271,0.9384615384615385,No balancing
Cleveland,Gradient Boosting,1,0.8762541806020068,0.8163265306122449,0.8168896321070234,0.7916666666666666,0.8260869565217391,0.8085106382978723,No balancing
Cleveland,Gradient Boosting,2,0.8249158249158249,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707,No balancing
Cleveland,Gradient Boosting,3,0.8513986013986014,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174,No balancing
Cleveland,Gradient Boosting,4,0.8688811188811189,0.7708333333333334,0.770979020979021,0.7391304347826086,0.7727272727272727,0.7555555555555555,No balancing
Cleveland,Gradient Boosting,5,0.8653846153846153,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391,No balancing
Cleveland,XGBoost,1,0.8795986622073578,0.7755102040816326,0.7784280936454849,0.7307692307692307,0.8260869565217391,0.7755102040816326,No balancing
Cleveland,XGBoost,2,0.8232323232323232,0.7551020408163265,0.7483164983164983,0.75,0.6818181818181818,0.7142857142857143,No balancing
Cleveland,XGBoost,3,0.8531468531468531,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174,No balancing
Cleveland,XGBoost,4,0.8933566433566433,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182,No balancing
Cleveland,XGBoost,5,0.8426573426573426,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046,No balancing
Cleveland,CatBoost,1,0.9130434782608695,0.7959183673469388,0.8001672240802675,0.7407407407407407,0.8695652173913043,0.8,No balancing
Cleveland,CatBoost,2,0.8552188552188552,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693,No balancing
Cleveland,CatBoost,3,0.8601398601398602,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279,No balancing
Cleveland,CatBoost,4,0.8951048951048951,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727,No balancing
Cleveland,CatBoost,5,0.8601398601398601,0.8125,0.8059440559440559,0.8421052631578947,0.7272727272727273,0.7804878048780488,No balancing
Cleveland,Extra Trees,1,0.9590301003344481,0.8571428571428571,0.8553511705685619,0.8636363636363636,0.8260869565217391,0.8444444444444444,No balancing
Cleveland,Extra Trees,2,0.8249158249158249,0.8367346938775511,0.8265993265993266,0.8888888888888888,0.7272727272727273,0.8,No balancing
Cleveland,Extra Trees,3,0.8951048951048951,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279,No balancing
Cleveland,Extra Trees,4,0.8924825174825175,0.8125,0.8164335664335665,0.76,0.8636363636363636,0.8085106382978723,No balancing
Cleveland,Extra Trees,5,0.8846153846153846,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182,No balancing
HDC,Gradient Boosting,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,Class weighting
