Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.9147157190635451,0.7959183673469388,0.8001672240802675,0.7407407407407407,0.8695652173913043,0.8
0,2,0.8569023569023568,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693
0,3,0.8548951048951049,0.7916666666666666,0.7867132867132867,0.8,0.7272727272727273,0.7619047619047619
0,4,0.8811188811188811,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
0,5,0.8863636363636364,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046
1,1,0.8795986622073578,0.7755102040816326,0.7784280936454849,0.7307692307692307,0.8260869565217391,0.7755102040816326
1,2,0.861952861952862,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
1,3,0.8496503496503497,0.75,0.7447552447552448,0.75,0.6818181818181818,0.7142857142857143
1,4,0.8811188811188811,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182
1,5,0.8531468531468531,0.7916666666666666,0.7867132867132867,0.8,0.7272727272727273,0.7619047619047619
2,1,0.9063545150501673,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666
2,2,0.8400673400673401,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693
2,3,0.8444055944055945,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
2,4,0.8881118881118881,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
2,5,0.8706293706293706,0.7916666666666666,0.7867132867132867,0.8,0.7272727272727273,0.7619047619047619
3,1,0.8662207357859532,0.7551020408163265,0.7566889632107023,0.72,0.782608695652174,0.75
3,2,0.8417508417508418,0.7755102040816326,0.7626262626262625,0.8235294117647058,0.6363636363636364,0.717948717948718
3,3,0.833916083916084,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
3,4,0.9038461538461539,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182
3,5,0.8583916083916083,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727
4,1,0.9197324414715718,0.8367346938775511,0.8386287625418061,0.8,0.8695652173913043,0.8333333333333334
4,2,0.8653198653198654,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
4,3,0.8741258741258742,0.8125,0.8059440559440559,0.8421052631578947,0.7272727272727273,0.7804878048780488
4,4,0.8951048951048951,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
4,5,0.8741258741258741,0.7916666666666666,0.7832167832167831,0.8333333333333334,0.6818181818181818,0.75
5,1,0.9013377926421404,0.8163265306122449,0.8219063545150501,0.75,0.9130434782608695,0.8235294117647058
5,2,0.8686868686868687,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693
5,3,0.8583916083916084,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
5,4,0.8811188811188811,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
5,5,0.8583916083916083,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046
6,1,0.9080267558528428,0.7959183673469388,0.8001672240802675,0.7407407407407407,0.8695652173913043,0.8
6,2,0.8400673400673402,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
6,3,0.8548951048951049,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
6,4,0.8881118881118881,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174
6,5,0.8758741258741258,0.8333333333333334,0.8286713286713286,0.85,0.7727272727272727,0.8095238095238095
7,1,0.8913043478260869,0.7755102040816326,0.7809364548494984,0.7142857142857143,0.8695652173913043,0.7843137254901961
7,2,0.8552188552188552,0.7755102040816326,0.7626262626262625,0.8235294117647058,0.6363636363636364,0.717948717948718
7,3,0.8531468531468531,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279
7,4,0.8776223776223777,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
7,5,0.8601398601398602,0.8333333333333334,0.8286713286713286,0.85,0.7727272727272727,0.8095238095238095
