Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.9163879598662208,0.7959183673469388,0.8001672240802675,0.7407407407407407,0.8695652173913043,0.8
0,2,0.8367003367003367,0.7551020408163265,0.7441077441077442,0.7777777777777778,0.6363636363636364,0.7
0,3,0.8636363636363636,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727
0,4,0.8811188811188811,0.7708333333333334,0.7779720279720279,0.7037037037037037,0.8636363636363636,0.7755102040816326
0,5,0.8723776223776224,0.8333333333333334,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8181818181818182
1,1,0.9030100334448161,0.7551020408163265,0.7591973244147157,0.7037037037037037,0.8260869565217391,0.76
1,2,0.835016835016835,0.7755102040816326,0.7626262626262625,0.8235294117647058,0.6363636363636364,0.717948717948718
1,3,0.8339160839160839,0.75,0.7482517482517483,0.7272727272727273,0.7272727272727273,0.7272727272727273
1,4,0.8531468531468531,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
1,5,0.8706293706293706,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391
2,1,0.8996655518394648,0.7959183673469388,0.7951505016722409,0.782608695652174,0.782608695652174,0.782608695652174
2,2,0.8164983164983165,0.7551020408163265,0.7441077441077442,0.7777777777777778,0.6363636363636364,0.7
2,3,0.8793706293706294,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174
2,4,0.8776223776223776,0.7916666666666666,0.7972027972027972,0.7307692307692307,0.8636363636363636,0.7916666666666666
2,5,0.8811188811188811,0.875,0.8741258741258742,0.8636363636363636,0.8636363636363636,0.8636363636363636
3,1,0.8879598662207359,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666
3,2,0.8164983164983165,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707
3,3,0.8548951048951049,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174
3,4,0.8636363636363636,0.7916666666666666,0.7972027972027972,0.7307692307692307,0.8636363636363636,0.7916666666666666
3,5,0.8653846153846153,0.8541666666666666,0.8548951048951049,0.8260869565217391,0.8636363636363636,0.8444444444444444
4,1,0.8996655518394648,0.7551020408163265,0.7591973244147157,0.7037037037037037,0.8260869565217391,0.76
4,2,0.8434343434343434,0.7755102040816326,0.7626262626262625,0.8235294117647058,0.6363636363636364,0.717948717948718
4,3,0.8479020979020979,0.7291666666666666,0.729020979020979,0.6956521739130435,0.7272727272727273,0.7111111111111111
4,4,0.8531468531468531,0.7708333333333334,0.7744755244755245,0.72,0.8181818181818182,0.7659574468085106
4,5,0.8653846153846154,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391
5,1,0.8695652173913043,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666
5,2,0.8451178451178452,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75
5,3,0.7884615384615384,0.7083333333333334,0.7062937062937062,0.6818181818181818,0.6818181818181818,0.6818181818181818
5,4,0.8444055944055944,0.6875,0.6835664335664335,0.6666666666666666,0.6363636363636364,0.6511627906976745
5,5,0.8461538461538463,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727
6,1,0.882943143812709,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666
6,2,0.8047138047138047,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707
6,3,0.8444055944055944,0.7708333333333334,0.770979020979021,0.7391304347826086,0.7727272727272727,0.7555555555555555
6,4,0.8618881118881119,0.75,0.7552447552447552,0.6923076923076923,0.8181818181818182,0.75
6,5,0.8688811188811189,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391
7,1,0.8762541806020067,0.7959183673469388,0.7976588628762542,0.76,0.8260869565217391,0.7916666666666666
7,2,0.7996632996632997,0.7755102040816326,0.7668350168350169,0.7894736842105263,0.6818181818181818,0.7317073170731707
7,3,0.8321678321678321,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086
7,4,0.8741258741258742,0.7291666666666666,0.7255244755244755,0.7142857142857143,0.6818181818181818,0.6976744186046512
7,5,0.8444055944055944,0.8125,0.8129370629370629,0.782608695652174,0.8181818181818182,0.8
