Feature,Mean_AUC_decrease,Shuffle_SD
ca,0.07474747474747472,0.02396142892889693
cp,0.06176046176046175,0.016281635371578496
thal,0.03481240981240979,0.02016026529061093
exang,0.027597402597402575,0.010066486559809573
slope,0.027308802308802282,0.01732206634363493
sex,0.013095238095238045,0.01187307208119135
restecg,0.010930735930735912,0.006537549052181351
age,0.005230880230880223,0.0023888648096887914
thalach,0.005086580086580058,0.002711393567693146
oldpeak,0.004978354978354956,0.00206480346627044
fbs,0.0028860028860028734,0.0030268653626844303
trestbps,0.0026334776334776175,0.0022299508601047076
chol,0.0016594516594516568,0.001471578503201381
