Feature,Shuffle_1,Shuffle_2,Shuffle_3,Shuffle_4,Shuffle_5,Shuffle_6,Shuffle_7,Shuffle_8,Shuffle_9,Shuffle_10,Shuffle_11,Shuffle_12,Shuffle_13,Shuffle_14,Shuffle_15,Shuffle_16,Shuffle_17,Shuffle_18,Shuffle_19,Shuffle_20,Shuffle_21,Shuffle_22,Shuffle_23,Shuffle_24,Shuffle_25,Shuffle_26,Shuffle_27,Shuffle_28,Shuffle_29,Shuffle_30
age,0.005411255411255311,0.0043290043290042934,0.0043290043290042934,0.005411255411255422,0.00649350649350644,0.006493506493506551,0.005411255411255422,0.007575757575757569,0.005411255411255422,0.0032467532467532756,0.0032467532467532756,0.009740259740259716,0.0032467532467532756,0.0032467532467532756,0.005411255411255422,0.006493506493506551,0.009740259740259716,0.009740259740259716,0.0021645021645021467,0.0043290043290042934,0.006493506493506551,0.0010822510822510178,0.006493506493506551,0.0021645021645021467,0.00649350649350644,0.006493506493506551,0.0021645021645021467,0.0010822510822510178,0.008658008658008587,0.0043290043290042934
sex,-0.0010822510822511289,0.011904761904761862,0.0010822510822510178,0.005411255411255422,0.018398268398268303,0.005411255411255311,-0.0021645021645022577,0.03246753246753242,0.02597402597402587,-0.0032467532467532756,0.0032467532467532756,0.01948051948051943,0.027056277056277,0.029220779220779147,0.0021645021645020357,0.01948051948051943,0.0010822510822510178,0.03463203463203468,0.009740259740259605,0.0021645021645021467,-0.0021645021645022577,0.01948051948051943,0.023809523809523725,0.023809523809523836,0.03246753246753242,0.005411255411255311,0.023809523809523836,0.01406926406926401,0.0021645021645021467,0.007575757575757569
cp,0.0627705627705627,0.06601731601731609,0.0714285714285714,0.07467532467532467,0.05844155844155852,0.09740259740259738,0.044372294372294396,0.07900432900432908,0.05303030303030298,0.04870129870129869,0.04220779220779225,0.04870129870129869,0.07034632034632027,0.04329004329004327,0.06277056277056281,0.06385281385281383,0.0670995670995671,0.08549783549783552,0.09523809523809534,0.06601731601731609,0.058441558441558406,0.059523809523809534,0.04004329004328999,0.0357142857142857,0.038961038961038974,0.08116883116883111,0.06818181818181812,0.06601731601731609,0.0357142857142857,0.06818181818181812
trestbps,0.0032467532467532756,0.0021645021645021467,0.00649350649350644,0.006493506493506551,0.0021645021645021467,0.0032467532467532756,0.0021645021645021467,-0.0021645021645021467,0.0043290043290042934,0.0032467532467532756,0.0021645021645021467,0.0021645021645021467,0.0010822510822510178,0.0010822510822510178,0.0010822510822510178,0.0032467532467532756,0.005411255411255422,0.0032467532467532756,0.0,0.0010822510822510178,0.0043290043290042934,0.0021645021645021467,0.0010822510822510178,0.0032467532467532756,0.008658008658008587,0.0,0.0043290043290042934,0.0032467532467532756,0.0,-1.1102230246251565e-16
chol,0.0032467532467532756,0.0021645021645021467,0.0021645021645021467,0.0010822510822511289,0.0010822510822510178,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,-0.0010822510822511289,0.0021645021645021467,0.0032467532467532756,0.0021645021645021467,-0.0010822510822510178,0.0021645021645021467,0.0032467532467532756,0.0010822510822511289,-0.0010822510822510178,0.0,0.005411255411255422,-0.0010822510822511289,0.0,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,0.0032467532467532756,0.0010822510822511289,0.0010822510822510178
fbs,0.0043290043290042934,0.0010822510822510178,0.0010822510822510178,0.011904761904761973,0.0010822510822510178,0.007575757575757569,0.0,0.0021645021645021467,0.0010822510822510178,0.0,0.0021645021645021467,0.0021645021645021467,0.0010822510822510178,0.0032467532467532756,-0.0010822510822510178,0.0032467532467532756,0.0032467532467532756,0.005411255411255311,0.0032467532467532756,0.0043290043290042934,0.0,0.0010822510822510178,0.0,0.009740259740259827,0.0021645021645021467,0.00649350649350644,0.0,0.00649350649350644,0.0,0.0032467532467532756
restecg,0.016233766233766156,0.015151515151515138,0.01948051948051943,0.017316017316017285,0.010822510822510734,0.012987012987012991,0.023809523809523725,0.007575757575757569,0.0032467532467532756,0.02056277056277056,0.005411255411255422,0.01298701298701288,0.010822510822510845,0.01406926406926401,0.012987012987012991,0.0043290043290042934,0.006493506493506551,0.0,0.01406926406926412,0.01948051948051943,0.0021645021645021467,0.01406926406926412,0.007575757575757569,0.008658008658008698,0.0032467532467532756,-0.0043290043290044045,0.012987012987012991,0.012987012987012991,0.005411255411255422,0.017316017316017174
thalach,0.005411255411255422,0.0010822510822510178,0.007575757575757569,0.0043290043290042934,0.005411255411255422,0.010822510822510734,0.00649350649350644,0.0021645021645021467,0.005411255411255422,0.005411255411255311,0.005411255411255422,0.0043290043290042934,0.0010822510822510178,0.005411255411255422,0.005411255411255422,0.007575757575757569,0.008658008658008587,0.00649350649350644,0.007575757575757569,0.008658008658008587,0.008658008658008698,0.007575757575757458,0.005411255411255422,0.0,0.0021645021645021467,0.0021645021645021467,0.0021645021645021467,0.0043290043290042934,0.0,0.005411255411255311
exang,0.024891774891774965,0.031385281385281405,0.03354978354978344,0.02813852813852813,0.018398268398268414,0.02813852813852813,0.016233766233766156,0.03354978354978355,0.030303030303030276,0.016233766233766267,0.03354978354978355,0.021645021645021578,0.03463203463203457,0.03463203463203468,0.04112554112554112,0.04653679653679643,0.0043290043290042934,0.017316017316017285,0.044372294372294285,0.022727272727272707,0.03246753246753242,0.031385281385281405,0.029220779220779147,0.025974025974025983,0.018398268398268414,0.0032467532467532756,0.03246753246753242,0.038961038961038974,0.03246753246753242,0.021645021645021578
oldpeak,0.006493506493506551,0.007575757575757569,0.0,0.0032467532467532756,0.0043290043290042934,0.0032467532467532756,0.005411255411255311,0.0032467532467532756,0.009740259740259716,0.00649350649350644,0.0032467532467532756,0.009740259740259716,0.005411255411255422,0.00649350649350644,0.0010822510822510178,0.005411255411255422,0.007575757575757569,0.0043290043290042934,0.005411255411255311,0.0043290043290042934,0.0043290043290042934,0.0043290043290042934,0.0043290043290042934,0.0043290043290042934,0.005411255411255311,0.0043290043290042934,0.0043290043290042934,0.005411255411255422,0.0032467532467532756,0.00649350649350644
