Candidate,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
0,1,0.991358024691358,0.9478672985781991,0.9390788224121558,0.9407407407407408,0.9769230769230769,0.9584905660377359
0,2,0.9869420702754037,0.9478672985781991,0.9507122507122507,0.976,0.9384615384615385,0.9568627450980393
0,3,0.977397910731244,0.9383886255924171,0.938366571699905,0.9606299212598425,0.9384615384615385,0.9494163424124513
0,4,0.9849215352618642,0.943127962085308,0.9423804121762147,0.9606299212598425,0.9457364341085271,0.953125
0,5,0.9832671582529778,0.9383886255924171,0.9340612592172434,0.9461538461538461,0.9534883720930233,0.9498069498069498
1,1,0.9933998100664767,0.95260663507109,0.9452516619183285,0.9477611940298507,0.9769230769230769,0.9621212121212122
1,2,0.9894586894586894,0.95260663507109,0.9545584045584046,0.9761904761904762,0.9461538461538461,0.9609375
1,3,0.9770655270655271,0.9289099526066351,0.9260208926875593,0.9457364341085271,0.9384615384615385,0.9420849420849421
1,4,0.9861505010398941,0.9478672985781991,0.9484779731518245,0.9682539682539683,0.9457364341085271,0.9568627450980393
1,5,0.98180185290225,0.933649289099526,0.9279636982416336,0.9389312977099237,0.9534883720930233,0.9461538461538461
2,1,0.9851851851851853,0.9383886255924171,0.938366571699905,0.9606299212598425,0.9384615384615385,0.9494163424124513
2,2,0.9772079772079771,0.909952606635071,0.9199430199430199,0.9743589743589743,0.8769230769230769,0.9230769230769231
2,3,0.960303893637227,0.9004739336492891,0.9099240265906933,0.9658119658119658,0.8692307692307693,0.9149797570850202
2,4,0.9720173945925507,0.909952606635071,0.91747022121384,0.9661016949152542,0.8837209302325582,0.9230769230769231
2,5,0.9700321421818869,0.9052132701421801,0.9113726602382303,0.957983193277311,0.8837209302325582,0.9193548387096774
3,1,0.987369420702754,0.9383886255924171,0.938366571699905,0.9606299212598425,0.9384615384615385,0.9494163424124513
3,2,0.9770180436847103,0.919431279620853,0.9299620132953466,0.9829059829059829,0.8846153846153846,0.9311740890688259
3,3,0.9659069325735993,0.909952606635071,0.9176163342830009,0.9663865546218487,0.8846153846153846,0.9236947791164659
3,4,0.9743807903195311,0.9004739336492891,0.9074966912459822,0.9576271186440678,0.875968992248062,0.9149797570850202
3,5,0.971733787105313,0.9146919431279621,0.9191245982227264,0.9586776859504132,0.8992248062015504,0.928
4,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
4,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
4,3,0.984900284900285,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
4,4,0.9994800529400643,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
4,5,0.9937606352807714,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
5,1,0.9999050332383665,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
5,2,0.9998100664767332,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
5,3,0.985707502374169,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
5,4,0.9995273208546039,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
5,5,0.9931461523917564,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
6,1,0.9998100664767331,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
6,2,0.9997150997150998,0.995260663507109,0.9961538461538462,1.0,0.9923076923076923,0.9961389961389961
6,3,0.9844254510921179,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
6,4,0.9990546417092078,0.981042654028436,0.9844961240310077,1.0,0.9689922480620154,0.984251968503937
6,5,0.9926262053318208,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
7,1,0.9996201329534663,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789
7,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923
7,3,0.9876543209876543,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077
7,4,0.9991491775382869,0.976303317535545,0.978398563055398,0.9920634920634921,0.9689922480620154,0.9803921568627451
7,5,0.9933352240499149,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
