Analysis,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
All eight predictors,1,1.0,1.0,1.0,1.0,1.0,1.0
All eight predictors,2,0.9996201329534663,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
All eight predictors,3,0.9926875593542261,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
All eight predictors,4,0.9990546417092079,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
All eight predictors,5,0.9951786727169597,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
Without troponin and kcm,1,0.5565052231718899,0.5545023696682464,0.5384140550807217,0.6475409836065574,0.6076923076923076,0.626984126984127
Without troponin and kcm,2,0.6146248812915481,0.6018957345971564,0.5792022792022792,0.676923076923077,0.676923076923077,0.676923076923077
Without troponin and kcm,3,0.6300094966761633,0.6350710900473934,0.6200854700854701,0.712,0.6846153846153846,0.6980392156862745
Without troponin and kcm,4,0.5985063339005483,0.5971563981042654,0.5750141803743618,0.6692307692307692,0.6744186046511628,0.6718146718146718
Without troponin and kcm,5,0.6403384382681035,0.6066350710900474,0.5983172622423899,0.6949152542372882,0.6356589147286822,0.6639676113360324
