Analysis,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
Original measurements,1,1.0,1.0,1.0,1.0,1.0,1.0
Original measurements,2,0.9996201329534663,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
Original measurements,3,0.9919278252611586,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
Original measurements,4,0.9989601058801286,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
Original measurements,5,0.9949896010588013,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
Flagged measurements set to missing,1,1.0,1.0,1.0,1.0,1.0,1.0
Flagged measurements set to missing,2,0.9996201329534663,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884
Flagged measurements set to missing,3,0.9926875593542261,0.981042654028436,0.9799620132953466,0.9846153846153847,0.9846153846153847,0.9846153846153847
Flagged measurements set to missing,4,0.9990546417092079,0.981042654028436,0.982274532047646,0.9921259842519685,0.9767441860465116,0.984375
Flagged measurements set to missing,5,0.9951786727169597,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875
