Dataset,Model,Method,Best parameters,roc_auc_mean,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean
HDC,Gradient Boosting,No balancing,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9971104086910477,0.9876777251184834,0.9885741734578943,0.9953603948458489,0.9845557543231962,0.9899008977882244
HDC,XGBoost,No balancing,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9972117694144542,0.9867298578199051,0.9882643167914485,0.9968871124031008,0.9814669051878354,0.9890983154181858
HDC,CatBoost,No balancing,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.9969076172176947,0.9857819905213269,0.9856698119356467,0.9906967425608819,0.9860942158616577,0.9883746207254358
HDC,Extra Trees,No balancing,"{'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9961214184791422,0.9876777251184834,0.9885832661347882,0.9953234808554466,0.9845438282647585,0.9898766718816455
Cleveland,Gradient Boosting,No balancing,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}",0.8747013051360877,0.7934523809523809,0.7922694053128836,0.7707729468599035,0.7833992094861661,0.7749388426354199
Cleveland,XGBoost,No balancing,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.886475682127856,0.8056972789115646,0.8027684875510962,0.8004929023504875,0.773913043478261,0.7827788584015881
Cleveland,CatBoost,No balancing,"{'model__depth': 4, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.8852780874520004,0.8056972789115646,0.8012826143260925,0.8179210526315789,0.7561264822134388,0.7812283226624356
Cleveland,Extra Trees,No balancing,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9017358647793431,0.8139455782312925,0.8120570251005035,0.8021601830663615,0.7924901185770751,0.7953980323204843
HDC,Gradient Boosting,SMOTENC,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9970154419294142,0.9857819905213271,0.9870357119194327,0.9953367248062015,0.9814788312462731,0.9883505789965262
HDC,XGBoost,SMOTENC,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9973082013467719,0.9876777251184834,0.9881238920320031,0.9937978861765714,0.9860942158616577,0.9899189746064746
HDC,CatBoost,SMOTENC,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.9970774369639941,0.9886255924170616,0.9893434042271252,0.9953723209042866,0.9860942158616577,0.9906790385663651
HDC,Extra Trees,SMOTENC,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9967184593730254,0.9876777251184834,0.9881238920320031,0.9937975177546804,0.9860942158616577,0.9899069797428357
Cleveland,Gradient Boosting,SMOTENC,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8730879024357285,0.80578231292517,0.8034677882503969,0.7944960921431511,0.78300395256917,0.7846070596070596
Cleveland,XGBoost,SMOTENC,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8832398680224767,0.8139455782312925,0.8116617681835073,0.8053513849984439,0.791699604743083,0.793736081194553
Cleveland,CatBoost,SMOTENC,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.883907075211423,0.8097789115646258,0.80661464139725,0.8052380952380952,0.773913043478261,0.7872549923525549
Cleveland,Extra Trees,SMOTENC,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.9000287152461066,0.8264455782312925,0.8240971588797678,0.821053902873125,0.8011857707509881,0.8079816189466242
HDC,Gradient Boosting,Class weighting,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.997215346154654,0.9857819905213271,0.9861200933615379,0.9922820062231914,0.9845557543231962,0.9883684049323473
HDC,XGBoost,Class weighting,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9972880013832934,0.9876777251184834,0.9885741734578943,0.9953726893261777,0.9845557543231962,0.9899188326578032
HDC,CatBoost,Class weighting,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.1}",0.9967933985442021,0.9876777251184834,0.9876585548999994,0.9922830946777573,0.9876326774001193,0.9899308318597111
HDC,Extra Trees,Class weighting,"{'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.995913784401211,0.9867298578199051,0.9873486982335535,0.993785019316985,0.9845438282647585,0.9891104111153848
Cleveland,Gradient Boosting,Class weighting,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.874044232739885,0.7893707482993197,0.7889249237075324,0.7626262626262628,0.7920948616600791,0.7732838589981447
Cleveland,XGBoost,Class weighting,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.8854160332421201,0.8014455782312926,0.8008226073443465,0.7813669215774479,0.8007905138339921,0.7858196625822099
Cleveland,CatBoost,Class weighting,"{'model__depth': 6, 'model__iterations': 100, 'model__learning_rate': 0.05}",0.8856817900296161,0.801530612244898,0.7975237323063411,0.8057543859649122,0.7557312252964427,0.7759557170039786
Cleveland,Extra Trees,Class weighting,"{'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",0.9064772586511717,0.8263605442176871,0.8245988311205703,0.814016930437983,0.8098814229249012,0.8089621846757291
